Combination,Strength
0000,Weak
0001,Medium
0002,Medium
0003,Medium
0004,Medium
0005,Medium
0006,Medium
0007,Medium
0008,Medium
0009,Medium
0010,Medium
0011,Medium
0012,Strong
0013,Strong
0014,Strong
0015,Strong
0016,Strong
0017,Strong
0018,Strong
0019,Strong
0020,Medium
0021,Strong
0022,Medium
0023,Strong
0024,Strong
0025,Strong
0026,Strong
0027,Strong
0028,Strong
0029,Strong
0030,Medium
0031,Strong
0032,Strong
0033,Medium
0034,Strong
0035,Strong
0036,Strong
0037,Strong
0038,Strong
0039,Strong
0040,Medium
0041,Strong
0042,Strong
0043,Strong
0044,Medium
0045,Strong
0046,Strong
0047,Strong
0048,Strong
0049,Strong
0050,Medium
0051,Strong
0052,Strong
0053,Strong
0054,Strong
0055,Medium
0056,Strong
0057,Strong
0058,Strong
0059,Strong
0060,Medium
0061,Strong
0062,Strong
0063,Strong
0064,Strong
0065,Strong
0066,Medium
0067,Strong
0068,Strong
0069,Strong
0070,Medium
0071,Strong
0072,Strong
0073,Strong
0074,Strong
0075,Strong
0076,Strong
0077,Medium
0078,Strong
0079,Strong
0080,Medium
0081,Strong
0082,Strong
0083,Strong
0084,Strong
0085,Strong
0086,Strong
0087,Strong
0088,Medium
0089,Strong
0090,Medium
0091,Strong
0092,Strong
0093,Strong
0094,Strong
0095,Strong
0096,Strong
0097,Strong
0098,Strong
0099,Medium
0100,Medium
0101,Medium
0102,Strong
0103,Strong
0104,Strong
0105,Strong
0106,Strong
0107,Strong
0108,Strong
0109,Strong
0110,Medium
0111,Medium
0112,Strong
0113,Strong
0114,Strong
0115,Strong
0116,Strong
0117,Strong
0118,Strong
0119,Strong
0120,Strong
0121,Strong
0122,Strong
0123,Strong
0124,Strong
0125,Strong
0126,Strong
0127,Strong
0128,Strong
0129,Strong
0130,Strong
0131,Strong
0132,Strong
0133,Strong
0134,Strong
0135,Strong
0136,Strong
0137,Strong
0138,Strong
0139,Strong
0140,Strong
0141,Strong
0142,Strong
0143,Strong
0144,Strong
0145,Strong
0146,Strong
0147,Strong
0148,Strong
0149,Strong
0150,Strong
0151,Strong
0152,Strong
0153,Strong
0154,Strong
0155,Strong
0156,Strong
0157,Strong
0158,Strong
0159,Strong
0160,Strong
0161,Strong
0162,Strong
0163,Strong
0164,Strong
0165,Strong
0166,Strong
0167,Strong
0168,Strong
0169,Strong
0170,Strong
0171,Strong
0172,Strong
0173,Strong
0174,Strong
0175,Strong
0176,Strong
0177,Strong
0178,Strong
0179,Strong
0180,Strong
0181,Strong
0182,Strong
0183,Strong
0184,Strong
0185,Strong
0186,Strong
0187,Strong
0188,Strong
0189,Strong
0190,Strong
0191,Strong
0192,Strong
0193,Strong
0194,Strong
0195,Strong
0196,Strong
0197,Strong
0198,Strong
0199,Strong
0200,Medium
0201,Strong
0202,Medium
0203,Strong
0204,Strong
0205,Strong
0206,Strong
0207,Strong
0208,Strong
0209,Strong
0210,Strong
0211,Strong
0212,Strong
0213,Strong
0214,Strong
0215,Strong
0216,Strong
0217,Strong
0218,Strong
0219,Strong
0220,Medium
0221,Strong
0222,Medium
0223,Strong
0224,Strong
0225,Strong
0226,Strong
0227,Strong
0228,Strong
0229,Strong
0230,Strong
0231,Strong
0232,Strong
0233,Strong
0234,Strong
0235,Strong
0236,Strong
0237,Strong
0238,Strong
0239,Strong
0240,Strong
0241,Strong
0242,Strong
0243,Strong
0244,Strong
0245,Strong
0246,Strong
0247,Strong
0248,Strong
0249,Strong
0250,Strong
0251,Strong
0252,Strong
0253,Strong
0254,Strong
0255,Strong
0256,Strong
0257,Strong
0258,Strong
0259,Strong
0260,Strong
0261,Strong
0262,Strong
0263,Strong
0264,Strong
0265,Strong
0266,Strong
0267,Strong
0268,Strong
0269,Strong
0270,Strong
0271,Strong
0272,Strong
0273,Strong
0274,Strong
0275,Strong
0276,Strong
0277,Strong
0278,Strong
0279,Strong
0280,Strong
0281,Strong
0282,Strong
0283,Strong
0284,Strong
0285,Strong
0286,Strong
0287,Strong
0288,Strong
0289,Strong
0290,Strong
0291,Strong
0292,Strong
0293,Strong
0294,Strong
0295,Strong
0296,Strong
0297,Strong
0298,Strong
0299,Strong
0300,Medium
0301,Strong
0302,Strong
0303,Medium
0304,Strong
0305,Strong
0306,Strong
0307,Strong
0308,Strong
0309,Strong
0310,Strong
0311,Strong
0312,Strong
0313,Strong
0314,Strong
0315,Strong
0316,Strong
0317,Strong
0318,Strong
0319,Strong
0320,Strong
0321,Strong
0322,Strong
0323,Strong
0324,Strong
0325,Strong
0326,Strong
0327,Strong
0328,Strong
0329,Strong
0330,Medium
0331,Strong
0332,Strong
0333,Medium
0334,Strong
0335,Strong
0336,Strong
0337,Strong
0338,Strong
0339,Strong
0340,Strong
0341,Strong
0342,Strong
0343,Strong
0344,Strong
0345,Strong
0346,Strong
0347,Strong
